activity_clean,next_activity,count,median,mean,max
Weigh the whole Cotton Candy and Throw Away,Get the Environment Data,77,0.051973,0.07694222077922078,0.490668
Set cooldown time,Set cooldown time,77,0.030293,0.05949863636363637,2.000019
Wait 2 seconds,Set cooldown time,76,0.003594,0.012188447368421052,0.042883
Sleep 1 Second,Turn the Machine On,75,0.017978,0.014002520000000001,0.053435
Wait 2 seconds,Fill Machine with Sugar,75,0.003522,0.011945506666666668,0.044018
Get the Environment Data,Weigh the whole Cotton Candy and Throw Away,74,0.016091,0.028717324324324323,0.501322
Start Cooking Time,Start Cooking Time,74,0.001472,0.0034289864864864863,0.020636
Sleep 1 Second,Weigh the whole Cotton Candy and Throw Away,72,0.06360850000000001,0.13703813888888888,1.032444
Sleep 1 Second,Measure the size of the Cotton Candy,72,0.49835300000000005,0.3650296111111111,1.12645
Turns Off Machine,external,71,0.024328,0.02493487323943662,0.07843
Remove Cotton Candy from Scale,external,70,0.022045000000000002,0.022597685714285717,0.043114
CC_weight,Remove Cotton Candy from Scale,70,0.027121,0.0279064,0.041907
Measure the pressure of the three sides of the cotton candy,Weigh the whole Cotton Candy and Throw Away,69,0.0328,0.03380539130434782,0.053975
Wait 2 seconds,Cools Down and Turns Off Machine,69,0.01835,0.014198521739130434,0.046898
Sleep 1 Second,Measure the pressure of the three sides of the cotton candy,69,0.062615,0.12369072463768117,0.984733
Wait 2 seconds,Measure the pressure of the three sides of the cotton candy,69,0.019329,0.016136057971014493,0.06366
external,Wait 2 seconds,69,2.00421,1.5864311304347825,2.050725
Get the Plug Data,Place the Wood Stick in Center,69,0.025684,0.45258223188405794,2.035083
Place the Wood Stick in Center,Get the Environment Data,68,0.002038,0.014326161764705882,0.173346
Set the Stick Number,external,68,0.006371,0.012657514705882352,0.049945
external,Set the Sugar Amount for Size,68,0.0223195,0.023580617647058825,0.074068
external,Turn the Machine On,68,0.0165055,0.021312838235294118,0.05934
Start Cooking Time,Create Cotton Candy,67,0.032621,0.03267889552238806,0.046077
Get the Environment Data,Create Cotton Candy,67,0.015942,0.06486197014925373,2.020966
external,Place the Wood Stick in Center,66,0.024347,0.03549877272727273,1.04054
Turn the Machine On,Get the Environment Data,64,0.0016305,0.08415075,2.092942
Set cooking time (Time Spinning),Create Cotton Candy,64,0.030713,0.03390046875,0.062147
