time_window,kmeans_cluster,dbscan_cluster,embed_x,embed_y,n_sensors_present,n_readings
2025-07-28 05:33:00+00:00,6,7,9.955996,-0.4413327,6,180.0
2025-07-28 10:33:00+00:00,1,6,6.62689,6.8493915,4,8.0
2025-07-28 11:03:00+00:00,1,8,5.729816,6.5993404,4,7.0
2025-07-28 11:09:00+00:00,1,6,6.521899,6.8570437,4,8.0
2025-07-28 11:18:00+00:00,1,6,6.5638328,6.9941363,4,7.0
2025-07-28 11:24:00+00:00,11,6,6.4945927,7.1847095,4,8.0
2025-07-28 11:33:00+00:00,11,6,6.475441,7.207158,2,4.0
2025-07-28 11:42:00+00:00,1,6,6.3102,6.650782,4,8.0
2025-07-28 11:51:00+00:00,1,8,5.470338,6.460599,4,8.0
2025-07-28 12:27:00+00:00,1,8,5.4357977,6.467464,6,126.0
2025-07-28 12:30:00+00:00,1,8,5.4925237,6.428224,6,338.0
2025-07-28 12:33:00+00:00,0,9,19.413803,0.4185931,6,326.0
2025-07-28 12:36:00+00:00,0,9,19.400131,0.7040708,6,314.0
2025-07-28 12:39:00+00:00,0,10,18.532707,-0.23370743,6,334.0
2025-07-28 12:42:00+00:00,0,10,18.846848,-0.42971817,6,336.0
2025-07-28 12:45:00+00:00,0,10,19.46663,-0.47301644,6,30.0
2025-07-28 12:57:00+00:00,1,8,5.5592165,6.516651,6,288.0
2025-07-28 13:00:00+00:00,0,9,19.395983,0.071473695,6,336.0
2025-07-28 13:03:00+00:00,0,9,19.741665,1.4654591,6,302.0
2025-07-28 13:06:00+00:00,0,10,19.288134,-0.32579452,6,336.0
2025-07-28 13:09:00+00:00,0,9,19.420725,1.2966323,6,336.0
2025-07-28 13:12:00+00:00,0,10,19.315895,-0.41110212,6,308.0
2025-07-28 13:15:00+00:00,0,10,18.633696,-0.15367763,6,326.0
2025-07-28 13:18:00+00:00,0,9,19.519789,1.3715172,6,296.0
2025-07-28 13:21:00+00:00,0,10,19.301147,-0.48687667,6,304.0
2025-07-28 13:24:00+00:00,0,10,18.634943,-0.10022744,6,334.0
2025-07-28 13:27:00+00:00,0,9,19.149883,0.42453295,6,290.0
2025-07-28 13:30:00+00:00,0,10,18.61206,-0.34283876,6,326.0
2025-07-28 13:33:00+00:00,0,10,19.096426,-0.5552715,6,330.0
2025-07-28 13:36:00+00:00,0,9,19.730556,1.4990053,6,304.0
2025-07-28 13:39:00+00:00,0,10,19.397316,-0.371004,6,336.0
2025-07-28 13:42:00+00:00,0,9,19.311956,0.95231104,6,334.0
2025-07-28 13:45:00+00:00,0,9,19.500366,0.93630743,6,291.0
2025-07-28 13:48:00+00:00,0,10,19.339027,-0.47870615,6,336.0
2025-07-28 13:51:00+00:00,0,9,19.438332,1.3206664,6,336.0
2025-07-28 13:54:00+00:00,13,9,19.777971,1.5072275,6,62.0
2025-08-07 09:15:00+00:00,5,11,-7.826172,1.8532666,3,7.0
2025-08-07 09:24:00+00:00,5,11,-7.717729,1.7084471,4,8.0
2025-08-07 09:33:00+00:00,5,11,-7.599999,1.6021209,2,5.0
2025-08-07 09:39:00+00:00,5,11,-7.7966576,1.8935105,3,7.0
2025-08-07 09:48:00+00:00,5,11,-7.61136,1.766131,4,8.0
2025-08-07 09:54:00+00:00,5,11,-7.7483115,1.9730616,4,8.0
2025-08-07 10:03:00+00:00,5,11,-7.862035,2.0667799,4,7.0
2025-08-07 10:09:00+00:00,5,11,-7.830127,2.139897,4,8.0
2025-08-07 10:18:00+00:00,4,11,-7.380701,1.4636241,4,7.0
2025-08-07 11:06:00+00:00,4,11,-7.397451,1.4881779,6,104.0
2025-08-07 11:09:00+00:00,7,0,-3.3072639,6.8170767,6,322.0
2025-08-07 11:12:00+00:00,2,12,-0.7314385,3.167266,6,334.0
2025-08-07 11:15:00+00:00,9,13,2.7027094,-1.7789445,6,324.0
2025-08-07 11:18:00+00:00,2,12,-0.57927245,3.224188,6,316.0
2025-08-07 11:21:00+00:00,2,14,-0.34465218,1.6402712,6,336.0
2025-08-07 11:24:00+00:00,2,14,-0.44169253,1.7257497,6,330.0
2025-08-07 11:27:00+00:00,2,14,-0.49587497,1.9551905,6,336.0
2025-08-07 11:30:00+00:00,2,14,-0.29430833,1.7946608,6,328.0
2025-08-07 11:33:00+00:00,9,13,2.7707431,-1.7081732,6,312.0
2025-08-07 11:36:00+00:00,2,12,-0.46699068,3.1780827,6,328.0
2025-08-07 11:39:00+00:00,2,-1,-0.39894116,2.3461382,6,328.0
2025-08-07 11:42:00+00:00,9,13,2.9063303,-1.5667378,6,308.0
2025-08-07 11:45:00+00:00,2,12,-0.33858767,2.7401252,6,338.0
2025-08-07 11:48:00+00:00,9,13,2.768441,-1.7069576,6,334.0
2025-08-07 11:51:00+00:00,2,12,-0.46605495,3.0305212,6,314.0
2025-08-07 11:54:00+00:00,2,14,-0.42094696,1.8145703,6,326.0
2025-08-07 11:57:00+00:00,9,13,2.8597374,-1.6183856,6,298.0
2025-08-07 12:00:00+00:00,2,12,-0.42967567,2.9637294,6,336.0
2025-08-07 12:03:00+00:00,9,13,2.620588,-1.8614732,6,308.0
2025-08-07 12:06:00+00:00,2,12,-0.42834568,2.9675243,6,328.0
2025-08-07 12:09:00+00:00,9,13,2.762626,-1.7175424,6,322.0
2025-08-07 12:12:00+00:00,2,12,-0.543496,3.2477367,6,318.0
2025-08-07 12:15:00+00:00,2,14,-0.39720094,1.7678591,6,336.0
2025-08-07 12:18:00+00:00,9,13,2.6604922,-1.8216243,6,206.0
